Modalidade de apoio,Empresa
Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE,2035
Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE,1295
Auxílio à Pesquisa - PAPPE / PIPE III,60
Auxílio à Pesquisa - Programa BIOEN - PIPE,11
Bolsas no Brasil - Programa BIOEN - PIPE,8
Auxílio à Pesquisa - Programa eScience e Data Science - PIPE,4
Auxílio à Pesquisa - Programa BIOTA - PIPE,4
Bolsas no Brasil - Programa eScience e Data Science - PIPE,4
Bolsas no Brasil - Programa BIOTA - PIPE,2
Auxílio à Pesquisa - Programa de Pesquisa sobre Mudanças Climáticas Globais - PIPE,1
Bolsas no Brasil - Programa de Pesquisa sobre Mudanças Climáticas Globais - PIPE,1
