Assunto,Quantidade
Inteligência artificial,7
Sistema de posicionamento global (GPS),4
Biotecnologia,3
Aprendizado computacional,3
Materiais compósitos,3
Softwares:Controle de processos:Linux:Autoatendimento:Refeições,3
Acesso à informação:Gestão da informação:Aplicativos móveis:Florestas:Brasil,3
Sistemas de tempo-real,3
Fibra óptica,3
Células de combustível,3
Reciclagem,3
Agricultura de precisão,3
Redes ópticas,3
Blendas,3
Espectrofotometria,3
Amplificadores,3
Grafenos:Materiais nanoestruturados,2
Desenvolvimento:Imunoterapia,2
Transformação digital,2
Neoplasias da bexiga:Imunoterapia:Procedimentos cirúrgicos urológicos,2
Obstetrícia:Saúde da mulher:Telemedicina,2
Inteligência artificial:Linguagem natural:Preservação digital,2
Macrófagos:Oncologia,2
Controle motor:Biomecânica,2
Dentística restauradora:Nanopartículas:Resinas compostas:Resistência de união (odontologia),2
Robôs autônomos:Robôs móveis:Aprendizado computacional:Visão computacional:Bicudo-do-algodoeiro:Manejo integrado de pragas:Pulverização,2
Materiais avançados,2
Terras raras:Paládio:Platina:Ródio:Metais terras raras,2
Espilantol:Extração:Micro-ondas:Produtos naturais,2
Polímeros,2
Bacia hidrográfica:Monitoramento:Consumo de água:Consumo de energia elétrica:Internet das coisas:Sensoriamento remoto:Sensores,2
Oncologia molecular:Neoplasias primárias desconhecidas:Metástase neoplásica:Mutação:Sequenciamento de nova geração:Prognóstico:RNA:Análises multiômicas:Técnicas de diagnóstico molecular,2
Cosmetologia:Dermocosméticos:Rosácea:Acne vulgar:Efeitos colaterais e reações adversas relacionados a medicamentos,2
Engenharia genética:Enzimas:Produção industrial:Fungos filamentosos:Micro-organismos:Indústria de alimentos,2
Aprendizado computacional:Aprendizagem profunda:Processamento de linguagem natural:Plataforma (computação):Cidades inteligentes,2
Internet das coisas:Plataforma (computação):Análise de dados:Tempo-real:Aprendizado computacional:Computação em nuvem:Big data:Sensores,2
Argônio líquido:Detectores de neutrinos:Purificação:Regeneração:Condensação:Criogenia,2
Fiscalização tributária:Plataforma (computação):Gestão do conhecimento:Legislação:Impostos:Contadores:Brasil,2
Controle de vetores:Doenças transmissíveis:Aedes aegypti:Dengue:Febre de Chikungunya:Vírus Zika:Febre amarela:Larvicidas,2
Pastagens:Forragicultura:Ovinocultura:Valor nutritivo:Plantas forrageiras,2
Sensoriamento remoto:Instalações elétricas:Redes de monitoramento:Tempo-real:Manutenção preditiva:Descarga elétrica:Temperatura,2
Avaliação em saúde:Judicialização da saúde:Satisfação do consumidor:Plataforma (computação),2
Plataforma (computação):Sistema tributário:Fiscalização tributária:Impostos,2
Sistemas de recomendação:Big data:Sistema de informação geográfica (SIG):Mercado imobiliário,2
Logística:Hipercubo:Teoria das filas:Rodovias:Serviços médicos de emergência:Socorro de urgência,2
Controle da qualidade:Análise quantitativa:Automação industrial:Redes neurais (computação):Visão computacional:Indústria automobilística:Carroçaria,2
Sistemas de ventilação:Qualidade do ar:Automação predial:Sensores:Controle ótimo:Inteligência artificial,2
Desenvolvimento de produtos:Tecnologia de alimentos:Produção de alimentos:Alimentos congelados:Gelados comestíveis:Sorvete,2
Técnicas de química analítica:Técnicas de pesquisa:Instrumentação analítica:Análise química:Titulometria,2
Biotecnologia:Bioprocessos:Imobilização de enzimas:Nanopartículas magnéticas:Sílica,2
Redes de distribuição de energia elétrica:Energia elétrica:Polímeros (materiais):Materiais termofixos,2
Saúde mental:Desenvolvimento de software:Telefonia celular:Transtornos relacionados ao uso de substâncias:Alcoolismo:Saúde da família,2
Geofísica aplicada:Métodos sísmicos:Ondas sísmicas,2
Virologia:Infectologia:Técnicas de diagnóstico molecular:DNA:Vírus da hepatite B:Reação em cadeia por polimerase (PCR),2
Dispositivo de identificação por radiofrequência:Antenas:Sensores:Energia elétrica:Internet das coisas,2
Aquicultura marinha:Copépodes:Ovo,2
Sensoriamento remoto:Coleta de dados:Monitoramento ambiental:Florestas:Sonda:Protótipo,2
Aprendizado computacional:Aplicativos móveis:Dispositivos móveis:Mineração de dados:Cardápios,2
Sistemas de recomendação:Mercado imobiliário:Frameworks:Sistema de informação geográfica (SIG):Big data,2
Teatro ambulante:Palco,2
Segurança portuária:Modelos matemáticos:Redes de monitoramento:Portos:Amarração:Ondas (oceanografia):Navios,2
Gestão da informação:Gestão de documentos:Gestão do conhecimento:Mineração de dados:Mineração de texto:Taxonomias (ciência da informação):Organização da informação,2
Embalagens:Reciclagem:Indústria automobilística,2
Controle de processos:Fibra óptica:Wireless,2
Automação:Indústria de alimentos:Descascamento:Banana,2
Engenharia de petróleo:Reservatórios de petróleo:Propriedades físicas das rochas:Rochas sedimentares:Pré-sal:Processamento de imagens:Tomografia computadorizada,2
Tecnologia educacional:Plataforma (computação):Educação a distância:Ludificação,2
Circuitos integrados:Endoscopia por cápsula:Doenças do sistema digestório,2
Medidores inteligentes:Redes de distribuição de energia elétrica:Processamento digital de sinais:Brasil,2
Operação de aeronaves:Pilotagem de aeronaves:Aeronaves não tripuladas:Veículos inteligentes,2
Redes de monitoramento:Conforto térmico:Qualidade do ar:Automação:Sensores remotos,2
Esportes por equipe:Tablet (dispositivos móveis):Sistemas de computação:Planejamento tático:Estatística,2
Cultura de células:Células clonais:Bovinos,2
Fotogrametria:Imagem digital:Topografia,2
Bobinadeiras:Fibra óptica:Sensores ópticos,2
Vitrocerâmica:Placa cerâmica:Máquinas e equipamentos elétricos:Dispositivos de micro-ondas:Sinterização:Moagem:Granulometria:Tratamento térmico,2
Metalurgia do pó:Ouro,2
Internet,2
Inseticidas biológicos:Fungos entomopatogênicos:Metarhizium anisopliae,2
Melhoramento genético vegetal,2
Monitoramento ambiental,2
Fios ortodônticos,2
Atenuador,2
Vulcanização,2
Automação predial,2
Mudança climática,2
Metalurgia do pó,2
Wireless,2
Embalagens,2
Interatividade,2
Gestão de conteúdo:Portal corporativo:Intranet:Aplicação web:Código aberto:Bancos,2
Radar,2
Corrosão,2
Tratamento de águas residuárias:Efluentes industriais:Técnicas eletroquímicas,2
Plantas medicinais,2
Radiação ionizante,2
Materiais cerâmicos,2
Tratamento de águas residuárias:Efluentes industriais:Reatores eletroquímicos,2
Manganês,2
Transporte urbano,2
Campo magnético:Materiais magnéticos:Transdutores,2
Método dos elementos finitos,2
Baterias,2
Eletrocardiografia,2
Inteligência artificial:Internet das coisas:Otimização:Telemetria,1
Instrumentação:Internet das coisas,1
Biofármacos:Simulação de dinâmica molecular,1
Avaliação da sustentabilidade,1
Empregabilidade:Inteligência artificial:Interface usuário-computador,1
Ácido hialurônico:Hidrogéis:Medicina de precisão:Organoides:Biotecnologia:Hidrogel,1
Inovações tecnológicas:Nanotecnologia,1
Inteligência artificial:Internet das coisas:Manutenção preditiva,1
Agronegócio:Técnicas de diagnóstico molecular:Fitopatógenos,1
Bioquímica:Química de alimentos:Bioprocessos:Fermentação:Feijão:Proteínas vegetais:Amido,1
Inteligência artificial:Medicina do sono,1
Agricultura sustentável:Inovações tecnológicas:Nanotecnologia,1
Bioprocessos:Fermentação:Proteínas vegetais,1
Dinâmica dos fluidos computacional,1
Substâncias bioativas:Compostos bioativos,1
Materiais nanoestruturados:Filmes finos,1
Primeiros socorros:Manobra de heimlich,1
Energia eólica:Exaustores:Geração distribuída,1
Canino:Imunoterapia:Oncologia veterinária,1
Monitoramento de integridade estrutural:Controle em tempo real:Sensores piezoelétricos:Nanotubos de carbono:Indústria 4.0,1
Inteligência artificial:Neoplasias ovarianas:Epidemiologia:Saúde da mulher:Visão computacional:Processamento de linguagem natural,1
Monitoramento de integridade estrutural,1
Anatomia patológica:Automação:Hardware:Softwares,1
Ensaios enzimáticos:Enzimas:Metabolismo,1
Geração de energia:Energia eólica:Geração distribuída:Exaustores:Geradores de energia,1
Inteligência artificial:Interação homem-máquina,1
Neoplasias ovarianas:Epidemiologia:Inteligência artificial:Ultrassom,1
Processos industriais:Bombas de calor:Eficiência energética:Temperatura,1
Economia circular:Materiais nanoestruturados:Nanotecnologia:Saneamento:Saúde:Sustentabilidade,1
Eficiência energética:Processos industriais,1
Ensaios enzimáticos:Metabolismo,1
Internet das coisas,1
Leishmania infantum:Leishmaniose visceral animal:Terapia combinada:Tratamento:Parasitologia,1
Atrofia muscular:MicroRNAs:Sarcopenia,1
Genomas:Inteligência artificial:Sequenciamento:Microbiologia agrícola:Genoma,1
Microbiologia agrícola:Genomas:Insumos agrícolas:Sequenciamento:Inteligência artificial:Inovação,1
Estresse abiótico:Estresse hídrico:Selênio:Sustentabilidade:Microbiologia agrícola,1
Adjuvantes:Micro-organismos:Nanotecnologia,1
Nanotecnologia:Agricultura:Nanopartículas:Biopolímeros:Isolamento térmico:Raios ultravioleta:Insumos agrícolas,1
Microbiologia agrícola:Milho:Estresse abiótico:Estresse hídrico:Crescimento vegetal:Selênio:Insumos agrícolas:Agricultura sustentável,1
Internet das coisas:Tecnologias 4G:Radiofrequência:Zona rural:Agronegócio,1
Inteligência artificial:Sistemas embarcados:Internet das coisas:Computação de borda:Armazenamento agrícola:Grãos,1
Farmacologia:Leishmania infantum:Leishmaniose visceral animal:Terapia combinada,1
Inoculantes:Metabólitos:Biotecnologia,1
Computação de borda:Inteligência artificial:Internet das coisas:Sistemas embarcados,1
Anti-infecciosos:Materiais nanoestruturados:Nanotecnologia,1
Algodão:Controle biológico:Parasitoides:Pragas,1
Cana-de-açúcar:Diatraea saccharalis:Monitoramento:Visão computacional:Agricultura de precisão,1
Agricultura de precisão:Visão computacional:Inteligência artificial:Cana-de-açúcar:Monitoramento:Pragas:Diatraea saccharalis,1
Cultivares:Fertilizantes:Nanotecnologia:Nutrição:Química de alimentos,1
Desenvolvimento de fármacos:Produtos naturais,1
Impressão tridimensional:Metalurgia do pó:Manufatura aditiva,1
Ludificação:Tecnologia assistiva,1
Controle biológico:Controle biológico de pragas:Pragas:Bicudo-do-algodoeiro:Algodão:Parasitoides,1
Automação:Agricultura de precisão:Colheita mecanizada:Mecanização agrícola:Pós-colheita:Mamona:Ricinus communis,1
Bioestimulantes vegetais:Nanoformulações:Reguladores de crescimento vegetal:Encapsulação :Produtividade de culturas:Estresse abiótico,1
Hidrogéis:Hidrogel com alginato:Biopolímeros:Formulações:Cicatrização:Ferimentos e lesões:Polihexanida,1
Interferência de RNA:RNA interferente pequeno:Folhas de planta:Biologia molecular,1
Inoculantes:Estresse hídrico:Insumos agrícolas:Cana-de-açúcar:Vida útil:Canavial:Ciclo reprodutivo,1
Filmes finos:Deposição de filmes finos:Baterias:Células solares:Perovskita:Armazenamento de energia:Geração de energia,1
Técnicas de diagnóstico molecular:Amplificação isotérmica mediada por loop (LAMP):Dispositivos lab-on-a-chip:Testes imediatos:Enzimas,1
Baterias:Escalonamento:Energia renovável,1
Agricultura de precisão:Colheita mecanizada:Mecanização agrícola:Automação,1
Cromatografia:Interferência de RNA:Biologia molecular,1
Reprodução:Sustentabilidade:Syngnathidae,1
Hidrogéis:Hidrogel,1
Química verde:Resíduos agroindustriais:Saponinas:Sustentabilidade:Química de produtos naturais,1
Piscicultura:Peixes ornamentais:Produção sustentável:América Latina,1
Química de produtos naturais:Química verde:Agave sisalana:Saponinas:Resíduos agroindustriais:Reciclagem:Sustentabilidade,1
Vidro:Manutenção preventiva:Sensores:Magneto-óptica:Sensores ópticos:Corrente contínua em alta tensão,1
Carga de trabalho:Fadiga:Sonolência,1
Estresse hídrico:Produtividade:Inoculantes,1
Técnicas de diagnóstico molecular,1
Ensaios não destrutivos:Inteligência artificial:Materiais compósitos:Ultrassom,1
Nanoformulações:Reguladores de crescimento vegetal,1
Manutenção preventiva,1
Cultura de células:Ensaio de imunoadsorção enzimática:Doenças dos animais:ELISA,1
Inteligência artificial:Responsabilidade social,1
Blockchain:Inclusão financeira,1
Aprendizado computacional:Mercado imobiliário:Aprendizado de máquina,1
Terapia genética:Vetores virais,1
Materiais compósitos poliméricos:Poliuretanos,1
Anti-infecciosos:Biomateriais:Engenharia tecidual:Regeneração óssea:Sulfato de cálcio,1
Terapia genética:Vetores virais:Transtornos do neurodesenvolvimento,1
Micro-ondas:Mineração:Garimpagem:Ouro:Mercúrio (elemento químico):Rejeitos de mineração,1
Imuno-oncologia:Genômica funcional:Neoplasias colorretais:Alvo terapêutico:Macrófagos associados a tumor,1
Desenvolvimento de novos materiais:Biopolímeros:Biomateriais:Couro,1
Bioenergia:Bagaço de cana-de-açúcar:Eficiência energética:Secagem:Usinas:Etanol:Geração de energia:Setor sucroenergético,1
Genômica funcional:Imunoterapia,1
Clonagem:Kit de reagentes para diagnóstico,1
Blockchain:Tokenização:Mercado imobiliário:Plataforma (computação):Inovação,1
Desenvolvimento de novos materiais:Tintas:Soluções poliméricas:Produção de produtos,1
Biotecnologia:Reversão sexual:Camarão:Sistemas de produção:Carcinicultura,1
Reversão sexual,1
Clonagem,1
Escalonamento:Síntese,1
