Empresa,Modalidade de apoio
Aronis Software Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Femto Indústria e Comércio de Instrumentos Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Sensoft Indústria e Automação Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Adespec Adesivos Especiais Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Lasertools Tecnologia Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
"Brasil Ostrich Comercial, Importação e Exportação Ltda",Auxílio à Pesquisa - PAPPE / PIPE III
Indústria Brasileira do Peixe Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
CP2 Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Navcon Navegação e Controle Indústria e Comércio Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Compsis Computadores Sistemas Indústria e Comércio Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Pro-Clone Comércio de Mudas Matrizes - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Omnisys Engenharia Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Electrocell Indústria e Comércio de Equipamentos Elétricos Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Chancelier Jóias Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Optolink Indústria e Comércio Sociedade Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
NPA Núcleo de Pesquisas Aplicadas Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Mhnano Indústria e Desenvolvimento de Materiais Nanoestruturados Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Geodados Mapeamento e Pesquisa Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Mextra Engenharia Extrativa de Metais Ltda (MEXTRA),Auxílio à Pesquisa - PAPPE / PIPE III
"Unitech Projetos, Pesquisas, Desenvolvimento, Consultoria e Comércio Ltda",Auxílio à Pesquisa - PAPPE / PIPE III
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Camelback Comércio de Pneus de Santos Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Synbeeosis Indústria e Comércio de Produtos Ambientais Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Sapra S/A,Auxílio à Pesquisa - PAPPE / PIPE III
Tramppo Comércio e Reciclagem de Produtos Industriais Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Esper Administradora de Bens Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Colly Química Indústria e Comércio Ltda. - EPP,Auxílio à Pesquisa - PAPPE / PIPE III
Linax Indústria e Comércio de Óleos Essenciais Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Nucleogen Centro Biotecnológico Animal S/S,Auxílio à Pesquisa - PAPPE / PIPE III
BCS Tecnologia e Serviços Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
D A Software e Serviços S/A,Auxílio à Pesquisa - PAPPE / PIPE III
