Pesquisador Responsável,Pesquisadores Principais (Atuais),Pesquisadores Principais (Últimos),Pesquisadores Principais (Anteriores),Pesquisadores Associados,Município
Dreid Cristina Peres Rodero,Não Informado,Não Informado,Não Informado,Alfredo Riciere Dias - Edson Pereira Borges - Germison Vital Tomquelski - Marcelo Giovanetti Canteri,Adamantina
Marcos Guerrero da Costa e Silva,Não Informado,Rodrigo Guerrero da Costa e Silva,Não Informado,Gabriel Nogueira Rodrigues - Gabriel Vinicius Assai Vaz - Rogerio Barretti Gouveia,Alambari
Vanderlei dos Santos,Não Informado,"Alexandre Marco da Silva, Fatima Conceição Márquez Piña-Rodrigues, José Mauro Santana da Silva, Marco Vinícius Chaud","Alexandre Marco da Silva, Fatima Conceição Márquez Piña-Rodrigues, José Mauro Santana da Silva, Marco Vinícius Chaud",Débora Zumkeller Sabonaro - Ivonir Piotrowski Santos,Alumínio
Renata Cristiano Nome,Não Informado,Não Informado,Não Informado,Anderson Vedoveto Martins - Andre Correa Marcilio - Renan Nacco Galindo Serrano,Americana
Renata Cristiano Nome,Não Informado,Não Informado,Não Informado,Fernando Ely - Homero Mauricio Schneider - Renan Nacco Galindo Serrano,Americana
Priscilla Marqui Schmidt Villela,Não Informado,Não Informado,Não Informado,Alexandre Wagner Silva Hilsdorf - Claudia Ehlers Kerber,Amparo
Lara Endres da Silva,Não Informado,Não Informado,Não Informado,Alexandre Wagner Silva Hilsdorf - Renata Alonso Miotto,Amparo
Vânia Santos Braz,Não Informado,Não Informado,Não Informado,Marlus Chorilli,Araraquara
Ingrid Müller Ledra,Não Informado,Não Informado,Não Informado,Lídia Parsekian Martins - Renato Parsekian Martins,Araraquara
Morgana Regina Mendonça de Oliveira,Não Informado,Não Informado,Não Informado,Hermes Pretel,Araraquara
Morgana Regina Mendonça de Oliveira,Não Informado,Hermes Pretel,Não Informado,Não Informado,Araraquara
Luis Henrique Guilherme,Não Informado,Assis Vicente Benedetti,Não Informado,Cecilio Sadao Fugivara - Marcelo Falcão de Oliveira,Araraquara
Lilian Cherubin Correia,Não Informado,Não Informado,Não Informado,Alberto Jose Cavalheiro - Ricardo Ribeiro Rodrigues,Araraquara
Juliano Passaretti Filho,Não Informado,Não Informado,Não Informado,Arnaldo Alves Cardoso,Araraquara
Tamara Carolina Trevisan,Não Informado,Não Informado,Não Informado,Andrea Abi Rached Dantas - Denis Henrique Pinheiro Salvadeo - Dennis Nakamura - Elaine Maria Sgavioli Massucato - Fabio Leite Gastal - Fabio Massaharu Nogi - Osmir Batista de Oliveira Júnior - Stephen Kunihiro,Araraquara
Maicon Segalla Petrônio,Marcello Alves Nakaishi,Não Informado,Não Informado,Não Informado,Araraquara
Diógenes dos Santos Dias,Não Informado,Não Informado,Não Informado,Caio Gomide Otoni - Clovis Augusto Ribeiro - Luiz Henrique Capparelli Mattoso,Araraquara
Deivy Wilson Masso,Não Informado,Não Informado,Não Informado,Felippe José Pavinatto - Hernane da Silva Barud,Araraquara
Ranilson Angelo da Silva,Não Informado,Não Informado,Não Informado,Marcelo Ornaghi Orlandi - Marcos Eduardo Guerra Alves,Araraquara
Flávia Bottino,Não Informado,Não Informado,Não Informado,Paulo Vagner dos Santos,Araraquara
Adriana Maneira França,Não Informado,Não Informado,Não Informado,Marcelo Nalin,Araraquara
Anelise Cristina Osorio Cesar Doria,Não Informado,Bruno Vinícius Manzolli Rodrigues,Bruno Vinícius Manzolli Rodrigues,Rodrigo Savio Pessoa,Araraquara
Mayté Paredes Zaldivar,Não Informado,Não Informado,Não Informado,Andréia Bagliotti Meneguin - Hernane da Silva Barud - Mônica Rosas da Costa Iemma,Araraquara
Juliana Cecchetto,Não Informado,Não Informado,Não Informado,Geralda Cristina De Freitas Ramalheiro,Araraquara
Ranilson Angelo da Silva,Não Informado,Não Informado,Não Informado,Marcelo Ornaghi Orlandi - Pedro Henrique Suman,Araraquara
Roberta Balansin Rigon,Não Informado,Juliana Cordeiro Cardoso,Não Informado,Não Informado,Araraquara
Luis Henrique Guilherme,Não Informado,Assis Vicente Benedetti,Assis Vicente Benedetti,Cecilio Sadao Fugivara - Peter Hammer,Araraquara
Tiago Azevedo Cunha,Stephanie Canavarro de Souza,Não Informado,Não Informado,Não Informado,Araraquara
Ana Carolina Nazaré,Não Informado,Não Informado,Não Informado,Marcia Perez dos Santos Cabrera,Araraquara
Isabel Duarte Coutinho,Não Informado,Não Informado,Não Informado,Cristiano Soleo de Funari,Araraquara
Luis Henrique Guilherme,Não Informado,Assis Vicente Benedetti,Não Informado,Cecilio Sadao Fugivara - Peter Hammer,Araraquara
Luis Henrique Guilherme,Não Informado,Assis Vicente Benedetti,Não Informado,Antonio Fabiano de Oliveira - Cecilio Sadao Fugivara - Isolda Costa,Araraquara
Carlos Hernani Cruz Marmol,Não Informado,Não Informado,Não Informado,Vinícius Ladeia Semenzim,Araraquara
Mary Rosa Rodrigues de Marchi,Não Informado,Alexander Alves da Silva,Não Informado,Arnaldo Sarti - Elton Eustaquio Casagrande,Araraquara
Hélida Gomes de Oliveira Barud,Não Informado,Não Informado,Não Informado,Clovis Augusto Ribeiro - Marisa Masumi Beppu,Araraquara
Mylene Cristina Alves Ferreira Rezende,Não Informado,Não Informado,Não Informado,Caio Gomide Otoni - Isabel Duarte Coutinho - Luiz Antonio Dutra - Rodrigo Alvarenga Rezende,Araraquara
Fernando Antonio Storion Junior,Não Informado,Não Informado,Não Informado,Tiago Azevedo Cunha,Araraquara
