Título,Assuntos,Pesquisador Responsável,Empresa,Município,Grande Área do Conhecimento,Área do Conhecimento,Subárea do Conhecimento
Desenvolvimento de rota híbrida para produção de esporos fúngicos com potencial aprimoramento produtivo e biológico,Não Informado,Marina Del Bianco Sousa Pereira,Não Informado,Não Informado,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química
Análise de Viabilidade Técnica de Estratégias de Proteção Anódica na Esfoliação Eletroquímica de Grafeno em Reator Confinado,Grafenos:Materiais nanoestruturados,Gustavo Freitas de Souza,Não Informado,Não Informado,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química
Análise de Viabilidade Técnica de Estratégias de Proteção Anódica na Esfoliação Eletroquímica de Grafeno em Reator Confinado,Grafenos:Materiais nanoestruturados,Gustavo Freitas de Souza,Não Informado,Não Informado,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química
"Projeto de criação de MVP para soluções IoT de instrumentação de academias de ginástica, reabilitação e fisioterapia",Inteligência artificial:Internet das coisas:Otimização:Telemetria,Victor Pacheco Bartholomeu,Não Informado,Não Informado,Engenharias,Engenharia Elétrica,"Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação"
"Projeto de criação de MVP para soluções IoT de instrumentação de academias de ginástica, reabilitação e fisioterapia",Instrumentação:Internet das coisas,Victor Pacheco Bartholomeu,Não Informado,Não Informado,Engenharias,Engenharia Biomédica,Não Informado
"Desenvolvimento da Sistema  de Q&A (Perguntas e Respostas), com funcionalidades de submissão de perguntas, recebimento de respostas e avaliação de qualidade no atendimento.",Não Informado,Roberta Elaine dos Santos Lotto,Não Informado,Não Informado,Ciências Exatas e da Terra,Ciência da Computação,Matemática da Computação
Guaraci - Extração e Integração de Emissões do Escopo 3 a partir de Documentos Não Estruturados,Não Informado,João Bruno Palermo,Não Informado,Não Informado,Ciências Biológicas,Ecologia,Ecologia Aplicada
Desenvolvimento de um bio-estabilizador molecular para aumento do shelf life e eliminação de cadeia fria de biofármacos,Biofármacos:Simulação de dinâmica molecular,Carla Souza,Não Informado,Não Informado,Ciências Biológicas,Bioquímica,Química de Macromoléculas
Ferramenta digital para avaliação e simulação de sustentabilidade corporativa baseada no modelo 5 SEnSU+G,Avaliação da sustentabilidade,Cristhiane Eliza dos Santos,Não Informado,Não Informado,Engenharias,Engenharia de Produção,Não Informado
Agente Conversacional para Recomendação Personalizada e Interativa de Profissionais para Contratantes,Empregabilidade:Inteligência artificial:Interface usuário-computador,Eric Keiji Tokuda,Não Informado,Não Informado,Ciências Exatas e da Terra,Ciência da Computação,Metodologia e Técnicas da Computação
