Assunto,Quantidade
Leishmania infantum:Leishmaniose visceral animal:Terapia combinada:Tratamento:Parasitologia,1
Técnicas de diagnóstico molecular:Inteligência artificial:Meduloblastoma:Oncologia pediátrica:Reação em cadeia da polimerase via transcriptase reversa quantitativa (qRT-PCR):Oncologia molecular,1
Tratamento do câncer:Assistência individualizada de saúde:Oncologia:Organoides,1
Biomarcadores:Biomarcadores tumorais:Diagnóstico precoce:Biópsia líquida:Técnicas biossensoriais:Avaliação de testes diagnósticos,1
Medicina veterinária:Terapia baseada em transplante de células e tecidos:Células-tronco mesenquimais:Exossomos:Dermatite em animal:Cães,1
Visão computacional:Aprendizagem profunda:Cidades inteligentes:Análise do comportamento:Segurança eletrônica:Monitoramento remoto:Comportamento de risco:Bens patrimoniais,1
Baterias:Eletrodos:Lítio:Nióbio:Vanádio:Eletroquímica:Eletrodo,1
Neoplasias colorretais:Engenharia genética:Genômica funcional:Imunoterapia:Macrófagos,1
Solubilização:Medicina veterinária,1
Fitotecnia:Agricultura sustentável:Reguladores de crescimento de plantas:Sequestro de carbono:Biocarvão:Nematicidas:Produção sustentável:Produção de alimentos,1
Micropropagação vegetal:Produção vegetal:Propagação vegetal:Yacon,1
Aparelhos ortopédicos:Impressão tridimensional:Corte a laser:Parametrização:Estudos de validação,1
Agricultura sustentável:Fixação biológica de nitrogênio:Inoculantes:Nanopartículas:Nanotecnologia:Sílica:Microbiologia agrícola,1
Agricultura:Cafeicultura:Lavoura:Safra:Café:Coffea arabica:Técnicas de estimativa:Plataforma (computação),1
Citopatologia:Técnicas de diagnóstico molecular:MicroRNAs:Prognóstico:Glândula tireoide:Nódulo da glândula tireoide,1
Neoplasias ovarianas:Biomarcadores:Testes hematológicos:Contagem de células sanguíneas:Inteligência artificial:Plataforma (computação),1
Microbiologia:Liofilização:Propagação:Secagem:Leveduras:Cerveja,1
Nanotecnologia:Envelhecimento da pele:Fotoproteção:Melanose:Urticária:Pele:Cosméticos,1
Sistemas de liberação de medicamentos:Injeções intradérmicas:Estudo de prova de conceito:Animais domésticos:Dor,1
Agricultura de precisão:Agronegócio:Biologia computacional:Metagenômica:Microbiota:Pragas de plantas,1
Estilo de vida saudável:Meio ambiente:Nutrição:Metabolômica:Biomarcadores:Prevenção de doenças:Diagnóstico,1
Avicultura:Controle biológico:Fungos filamentosos:Inseticidas biológicos:Gallus gallus domesticus:Aviários,1
Propriedades químicas:Imagem digital:Indústria do café:Qualidade do café:Grãos:Café:Cor,1
