Área do Conhecimento,Empresa
Farmácia,37
Medicina,24
Engenharia Biomédica,15
Bioquímica,13
Medicina Veterinária,10
Engenharia Química,9
Microbiologia,9
Química,8
Ciência da Computação,8
Agronomia,7
Ecologia,5
Engenharia Elétrica,5
Genética,4
Imunologia,4
Engenharia Agrícola,3
Odontologia,3
Saúde Coletiva,3
Zootecnia,3
Engenharia Mecânica,3
Farmacologia,2
Administração,2
Ciência e Tecnologia de Alimentos,2
Física,2
Enfermagem,1
Educação,1
Engenharia Aeroespacial,1
Biologia Geral,1
Biofísica,1
Engenharia de Transportes,1
Fisioterapia e Terapia Ocupacional,1
Parasitologia,1
