Subárea do Conhecimento,Empresa
Farmacotecnia,9
Microbiologia Aplicada,5
Engenharia Médica,4
Sistemas de Computação,4
Análise e Controle de Medicamentos,4
Farmacognosia,3
Clínica Médica,3
Tecnologia Química,3
Química Analítica,3
Bioquímica de Microorganismos,3
Química de Macromoléculas,3
Engenharia de Processamento de Produtos Agrícolas,2
"Eletrônica Industrial, Sistemas e Controles Eletrônicos",2
Anatomia Patológica e Patologia Clínica,2
Processos Industriais de Engenharia Química,2
Imunologia Aplicada,2
Medicina Veterinária Preventiva,2
Fitotecnia,2
Bioengenharia,2
Radiologia Médica,2
Tecnologia de Alimentos,2
Reprodução Animal,2
Administração de Empresas,2
Fitossanidade,1
Farmacologia Geral,1
Engenharia Térmica,1
Enzimologia,1
Clínica e Cirurgia Animal,1
Ecologia Aplicada,1
Endodontia,1
Enfermagem de Saúde Pública,1
"Circuitos Elétricos, Magnéticos e Eletrônicos",1
Cirurgia,1
Aerodinâmica,1
Análise Toxicológica,1
Genética e Melhoramento dos Animais Domésticos,1
Genética Animal,1
Físico-química,1
Física da Matéria Condensada,1
Periodontia,1
Pastagens e Forragicultura,1
Máquinas e Implementos Agrícolas,1
Imunologia Celular,1
Medicina Preventiva,1
Genética Humana e Médica,1
Genética Molecular e de Microorganismos,1
Química Orgânica,1
Radiologia e Fotobiologia,1
Produção Animal,1
Protozoologia de Parasitos,1
Saúde Materno-infantil,1
Sistemas Elétricos de Potência,1
Saúde Pública,1
Toxicologia,1
Veículos e Equipamentos de Controle,1
