Subárea do Conhecimento,Empresa
Farmacotecnia,17
Engenharia Médica,8
Microbiologia Aplicada,8
Sistemas de Computação,8
Química de Macromoléculas,7
Farmacognosia,6
Ecologia Aplicada,5
Análise e Controle de Medicamentos,5
Anatomia Patológica e Patologia Clínica,5
Tecnologia Química,4
Radiologia Médica,4
Fitotecnia,4
Processos Industriais de Engenharia Química,4
Reprodução Animal,4
Análise Toxicológica,4
Clínica Médica,3
Bioquímica de Microorganismos,3
Imunologia Aplicada,3
Medicina Veterinária Preventiva,3
Química Analítica,3
Fitossanidade,2
Administração de Empresas,2
Bioengenharia,2
Saúde Materno-infantil,2
Tecnologia de Alimentos,2
Química Orgânica,2
Medicina Preventiva,2
Periodontia,2
Genética Humana e Médica,2
Físico-química,2
Engenharia de Processamento de Produtos Agrícolas,2
Cirurgia,2
"Eletrônica Industrial, Sistemas e Controles Eletrônicos",2
Engenharia Térmica,2
Física da Matéria Condensada,2
Clínica e Cirurgia Animal,1
"Circuitos Elétricos, Magnéticos e Eletrônicos",1
Aerodinâmica,1
Enfermagem de Saúde Pública,1
Farmacologia Geral,1
Enzimologia,1
Endodontia,1
Pastagens e Forragicultura,1
Genética Molecular e de Microorganismos,1
Genética Animal,1
Imunologia Celular,1
Genética e Melhoramento dos Animais Domésticos,1
Máquinas e Implementos Agrícolas,1
Radiologia e Fotobiologia,1
Protozoologia de Parasitos,1
Produção Animal,1
Sistemas Elétricos de Potência,1
Saúde Pública,1
Toxicologia,1
Veículos e Equipamentos de Controle,1
