Empresa,Modalidade de apoio
Labmaq do Brasil Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
L A PHARMATEC PESQUISA E DESENVOLVIMENTO LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Avita Produtos Químicos Farmacêuticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Labmaq do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"BRP Inovação, Assessoria e Representação Comercial Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
F W Grillo - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lipid Ingredients & Technologies Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PHC Serviços Administrativos e Projetos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
