Pesquisador Responsável,Pesquisadores Principais (Atuais),Pesquisadores Principais (Últimos),Pesquisadores Principais (Anteriores),Pesquisadores Associados
Leticia de Almeida,Não Informado,Não Informado,Não Informado,Djalma de Souza Lima Júnior
Ricardo Bonfim Silva,Gustavo Alencastro Veiga Cruzeiro,Não Informado,Não Informado,Camila Morais Melo - Carlos Alberto Oliveira de Biagi Júnior - Elvis Terci Valera - Felipe D'Almeida Costa - Maristella Bergamo Francisco dos Reis - Rodrigo Farinaccio Lotrario
Robson Luis Ferraz do Amaral,Não Informado,Não Informado,Não Informado,Mateus Frederico de Paula
Daniela Silvestrini Fernandes,Gabriela Cristina Silva Prado,Não Informado,Não Informado,Cristiano Ceron Jayme - Luciana Nogueira de Sousa Andrade - Miyuki Uno - Roger Chammas
Carolina Caliári Oliveira,Não Informado,Não Informado,Não Informado,Adriana Oliveira Manfiolli - Ana Augusta Pagnano Derussi
Rafael Mira de Oliveira Libardi,"Dyonnatan Ferreira Maia, Nicolau Elias Pena Ramalho",Não Informado,Não Informado,Não Informado
Décio Batista de Freitas Neto,João Victor Bonaldo Rodrigues Rocha,Não Informado,Não Informado,Herenilton Paulino Oliveira - Paulo Olivi
Nerry Tatiana Cecilio,Não Informado,Não Informado,Não Informado,Não Informado
Luciana Baroni,Não Informado,Não Informado,Não Informado,Ana Patricia Yatsuda Natsui
Thaís Carvalho Maester Casanova,Não Informado,Rodrigo Nery,Não Informado,Não Informado
Rita Maria Borges de Moraes,Não Informado,Miriam Verginia Lourenço,Não Informado,Não Informado
Daniela Nakandakari Goia,Não Informado,Gustavo Trindade Valio,Não Informado,Marisa de Cássia Registro Fonseca
Amanda Carolina Prado de Moraes,Não Informado,Não Informado,Não Informado,Emerson Rodrigues de Camargo - Paulo Teixeira Lacava
Guilherme Jorge Gomes de Sousa,"Diego Moure Oliveira, Joyce Mayra Volpini Almeida Dias",Não Informado,"Diego Moure Oliveira, Joyce Mayra Volpini Almeida Dias",Andresa Aparecida Berretta e Silva - Carlos Pamplona Rehder - Jorge Luis Silva Kavicki
