Empresa,Título,Resumo
In Situ Terapia Celular Ltda,Formulação de uso tópico contendo exossomos derivados de células mesenquimais para o tratamento da dermatite atópica canina,"A solução tecnológica proposta envolve o desenvolvimento de um produto contendo exossomos derivados de células mesenquimais estromais (MSCs) formulados em um spray tópico para facilitar a aplicação e penetração na pele de cães com dermatite atópica.  Esta solução visa abordar os desafios específicos associados à DAC de maneira inovadora e eficaz. Os exossomos de MSC têm propriedades imunomoduladoras e anti-inflamatórias potentes que os tornam candidatos promissores para o tratamento de condições inflamatórias crônicas como a DAC. Eles contêm uma carga complexa de moléculas bioativas (proteínas, lipídios e microRNAs) que diminuem a inflamação, modulam a resposta imune e promovem a cicatrização da pele e regeneração tecidual. Ademais, a In Situ, empresa sede da presente proposta, previamente desenvolveu um Biogel contendo exossomos e mostrou a segurança desse produto em estudos in vitro e pré-clínicos assim como a eficácia em modelo de ferida experimental em camundongos. Nesse projeto propomos a adequação do produto, Biogel para spray, visando a melhor aplicabilidade no tratamento da DAC. (AU)"
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Desenvolvimento de sistemas de liberação sustentada de fármacos para o tratamento de doença periodontal,"Na Fase I (processo FAPESP nº 2010/51485-6) do programa Pesquisa Inovativa em Pequenas Empresas (PIPE), realizamos uma triagem de compostos biocompatíveis, biodegradáveis, de fácil manipulação e com disponibilidade comercial, visando a utilização na preparação de sistemas de liberação, semi-sólidos e filmógenos, contendo fármaco antimicrobiano para aplicação na bolsa periodontal. A triagem foi baseada em experimentos in vitro, entre outros, no tempo de permanência do dispositivo simulando a bolsa periodontal e no perfil de liberação do fármaco. Assim na Fase I, foram selecionadas duas formulações semi-sólidas, a base de monooleína, que mantiveram a integridade durante 7 dias no estudo in vitro para avaliação do tempo de permanência, porém todo o fármaco foi liberado em 04 dias. No caso dos filmes, secionamos formulações contendo alginato de sódio e polivinilpirrolidona, reticulado com cálcio, porém tanto a integridade quanto o perfil de liberação necessitam ser otimizados. Para a fase II planejamos uma estratégia aplicável ao sistema semi-sólido e filmógeno visando adequar o perfil de liberação do fármaco no interior da bolsa por pelo menos 7 dias. Com esta estratégia pretendemos aumentar o tempo de liberação do fármaco por meio de duas abordagens: i. utilização do fármaco microencapsulado nas formulações e ii. utilização de pró-fármaco (benzoato de metronidazol), de menor hidrossolubilidade, tanto livre como microencapsulado, podendo as abordagens ser utilizada de forma isolada ou combinada. Ao sistema semi-sólido, será aplicada a estratégia geral e as formulações serão avaliadas, quanto ao, teor do fármaco, tipo de fase líquido-cristalina, reologia, da capacidade de absorção de água e alteração de fase líquido-cristalina, trabalho necessário para extrusão em seringa, mucoadesão e tempo de retensão e, perfil de liberação do fármaco. No caso dos filmes, além da estratégia geral, será aplicado um planejamento experimental com três variáveis consideradas importantes para o aprimoramento da formulação. Os filmes serão avaliados quanto à eficiência de reticulação, espessura, conteúdo de umidade, teor de fármaco, grau de intumescimento, morfologia de superfície, ocorrência de cristalização/segragação do fármaco, propriedades mecânicas e mucoadesivas/tempo de retenção e, perfil de liberação do fármaco. Posteriormente, os filmes e semi-sólidos serão avaliados em estudo in vivo a fim de demonstrar a relevância clínica de sua utilização. Dessa forma, espera-se que ao final do projeto tenhamos pelo menos duas formulações de liberação sustentada, adequadas para auxiliar no tratamento da doença periodontal. Produtos estes, desenvolvidos com tecnologia nacional, matéria prima de baixo custo e que possam alavancar os negócios da empresa. (AU)"
Nanophoton Ltda. - ME,Desenvolvimento de dispositivos poliméricos nanobiocarreadores para liberação controlada de fármacos fotossensibilizadores ftalocianínicos aplicados a regeneração de tecidos biológicos e tratamento de lesões,"Os objetivos do projeto de pesquisa consistem em desenvolver, caracterizar e escalonar formulações nanoestruturadas contendo princípios ativos fotossensibilizantes derivados da família das ftalocianinas empregáveis em regeneração tecidual e cicatrização de lesões tópicas visando registro e comercialização futura de produto. A utilização da nanotecnotogia no desenvolvimento de sistemas de liberação de fármacos resulte em novos materiais com propriedades físico-químicas diferenciadas, o que influencia diretamente a interação biológica destes sistemas, bem como a eficácia terapêutica de medicamentos. Esta tecnologia contribui decisivamente no desenvolvimento de novos medicamentos e métodos terapêuticos baseados na associação da fototerapia e fármacos fotos sensibilizadores no tratamento de lesões cutâneas e na regeneração tecidual por meio de respostas induzidas por processos fotobiológicos. Na primeira fase do projeto de pesquisa, os sistemas nanoestruturados poliméricos serão desenvolvidos e preparados em escala laboratorial com a finalidade de se determinar suas propriedades morfológicas, físico-químicas e estabilidade termodinâmica, A metodologia de preparo das formulações com nanotecnologia se baseará na obtenção de nanopartículas lipídicas sólidas por pré-emuisificação de suspensão lipídica/estabilizantes químicos, através da interação interfacial de emulsificante natural na ausência de solvente orgânico. Consecutivamente, a emulsão será submetida à """"nanonização"""" empregando-se uma unidade semi-industrial de ultra-homogeneização à alta pressão para padronização do tamanho de partícula esperado. Os materiais obtidos serão caracterizados por espectroscopia de correlação de fótons e espalhamento dinâmico de luz, para determinação do tamanho de partícula, valor de potencial zeta e índice de polidispersividade e propriedades espectroscópicas no estado estacionário e resolvidas no temo. A ultra-estabilidade físico-química será avaliada em função do tempo e em diferentes temperaturas de estocagem. Para avaliação da atividade do fotoprocesso na modulação da reposta celular in vitro serão realizados ensaios fotobiológicos em cultura de células in vitro (monocamadas) bem como a utilização de modelos de derme humana baseados em protocolos de engenharia de tecidos, uma linha de trabalho recente no país. Desta forma será possível avaliar a resposta biológica frente a fotoativação combinando-se diferentes doses de fármaco nanoestruturado e laser de baixa potência (diodo-laser). Portento, espera-se obter um novo produto farmacêutico disponível para registro como medicamento para saúde humana, empregando-se protocolos inovadores baseados na utilização da nanotecnologia como suporte para medicamentos avançados para saúde humana. (AU)"
LCR Kimera Biotecnologia Ltda,"Produção de gonadotrofina coriônica equina recombinante (r-eCG) em sistema eucariótico, para uso em protocolos de sincronização de cio","A agropecuária no Brasil tem sido vista como um dos setores produtivos que pode ampliar e conferir maior robustez a participação do nosso país no cenário internacional e na economia mundial. De acordo com expectativas da ONU, o Brasil, em breve deterá a liderança como maior produtor de alimentos. Já o é em produção e exportação de carne bovina, graças ao grande movimento que conjugou eficiência produtiva, desenvolvimento tecnológico, organização empresarial utilizando as Biotecnologias da Reprodução que impactam em aumento de eficiência produtiva. Dentre as biotécnicas da reprodução a inseminação Artificial (Ai) é a técnica mais difundida e a IA em Tempo Fixo (IATF) permite inseminar um grande número de fêmeas em dia e hora pré-determinada, sem a necessidade de observação de cios, sendo baseada em protocolos hormonais de sincronização de cio, utilizando diversos hormônios comerciais (naturais e/ou sintéticos), incluindo aqui a Gonadotrofina Coriônica equina (eCG), cujo objetivo visa a determinação do horário em que o cio/ovulação da fêmea vai acontecer, e consequentemente determinando o horário da IA, possuindo, portanto diversas vantagens, fato pelo qual a técnica tem apresentado crescimento de sua aplicação no mercado de números bastante animadores - a taxa de crescimento da IATF em bovinos foi superior a 20% entre 2010/11 (ASBIA 2011), atingindo patamares próximos aos 5 milhões de protocolos de IATF realizados no Brasil em 2010, representando quase que metade do volume de IA realizado no país, no mesmo período - fato que sustenta a necessidade do desenvolvimento de inovações suportando nosso objetivo que traduz-se na produção de gonadotrofina coriônica equina recombinante (r-eCG) em sistema eucarioto (cultura de células CHO-K1 em suspensão) para posterior aplicação em protocolos de IATF; sendo que o sistema de produção de molécula recombinante substituirá de forma eficiente a metodologia atualmente empregada no processo de industrialização da molécula nativa de eCG, que emprega a purificação do hormônio em soro de éguas prenhes - processo oneroso e pouco prático sob o sentido de bem estar animal. Este projeto é apresentado pela Kimera Biotec e nasceu de uma iniciativa inovadora de um pós-doutor, Dr. Camillo Del Cistia de Andrade, vinculado à Faculdade de Ciências Farmacêuticas de Ribeirão Preto-USP (FCFRP-USP). Na etapa de elaboração do projeto em questão o Dr. Camillo contou com a assessoria científica de pesquisadores da Inprenha LTDA (Marcelo Roncolleta e Erika Morani) e de docente da FCFRP-USP (Prof. Dr. Marcelo Dias Baruffi). No momento, a Kimera Biotec está buscando a formalização de um convênio de cooperação acadêmica com a FCFRP-USP visando o desenvolvimento do objeto deste projeto. (AU)"
Capataz - Estatores Motores e Geradores Elétricos Eireli - ME,"Estatores de alto rendimento e processo de retrofit em motores elétricos trifásicos de 1 a 100 hp, ip-55, em 2, 4, 6 e 8 polos, em uso, seminovos, sucateados ou recondicionados, de baixo rendimento para máquinas de alta-eficiência com a ostentação da etiqueta Inmetro","O projeto trata-se de pesquisa de viabilidade técnica e econômica na industrialização de estatores bobinados de Alto Rendimento, para aplicações em motores elétricos trifásicos de baixo rendimento, com gaiola de esquilo de 1 a 100 HP, em 2, 4, 6 e 8 pólos, IP 55, de uso geral, em funcionamento, sucateados ou queimados, com o aproveitamento do rotor, eixo maciço, carcaça e seus periféricos. Além do citado acima, a pesquisa contempla ainda, método para a revitalização de motores elétricos trifásicos completos, utilizando os novos estatores de Alto Rendimento, aqui propostos nessa pesquisa, através de Retrofit em motores usados, queimados ou semi novos, melhorando a sua eficiência, com o pioneirismo de poder ostentar a Etiqueta INMETRO, nessa categoria comercial de motores elétricos, em 50/60HZ, 2, 4, 6 e 8 pólos, conforme Lei N° 10.295 de 2001, Decreto N° 4.508 de 11 de Dezembro de 2002 e Portaria N° 553 de 08 Dezembro de 2005, com seus índices mínimos de rendimentos. O consumo de energia no Brasil em 2012 foi de 448.293 GWh/ano, desse total 40,93 % foi consumida pelo setor industrial e somente os motores elétricos consumiram 119.266 GWh/ano. Acontece que um grande número desses motores são de baixa eficiência com rendimentos de até 5 % abaixo do que estabelece o padrão atual. Sendo assim, através dessa pesquisa, poderemos vislumbrar uma economia de até 3,31 GWh/ano em todo o Sistema Elétrico Nacional. Na primeira fase do projeto PIPE, pretende-se desenvolver protótipos nas potências de 3, 5 e 10 HP, 4 pólos, os quais posteriormente serão testados e avaliados junto ao IEE-USP. Na segunda fase do projeto PIPE, serão feitos estudos de viabilidade de produção em escala. (AU)"
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Bioprodução de enzimas para refino de celulose,"As enzimas desempenham um papel central na biotecnologia e na indústria biofarmacêutica. Dentre as usadas no segmento de papel e celulose, encontram-se as xilanases e as endoglicanases. Essas enzimas, quando racionalmente misturadas em diferentes proporções, podem atuar tanto no refino da fibra virgem de celulose quanto no refino de celulose proveniente do papel reciclado. A Verdatis atua no desenvolvimento de enzimas customizadas utilizando a tecnologia PersoZyme e busca a produção de ambas as enzimas recombinantes em larga escala. Atualmente, o processo fermentativo da xilanase encontra-se otimizado, rendendo cerca de 500.000 UI/L de cultura, e projeta-se definir as etapas de purificação (downstream) nos próximos meses. Já a endoglucanase, produzida em biorreatores de 3 e 10 litros, apresenta uma produtividade enzimática abaixo do viável. Para tornar o processo de produção competitivo, propõe-se, nesse projeto, a aplicação de técnicas de evolução dirigida, para aumentar a expressão da enzima, e o desenvolvimento do processo fermentativo e de purificação em nível de bancada visando alcançar um produto de baixo custo. Uma vez atingida a meta de produtividade de 600.000 UI/L de fermentado, pretende-se prosseguir com os testes de ampliação de escala a fim de que o produto contendo endoglucanase e xilanase chegue ao mercado. Uma avaliação realizada no Laboratório de Celulose e Papel da Universidade Federal de Viçosa mostrou que uma mistura protótipo das enzimas produzidas na empresa levou a redução de aproximadamente 30% do consumo de energia gasto na etapa de refino. Considerando o sucesso do teste, o interesse comercial da empresa Suzano Papel e Celulose Ltda. em utilizar o produto no refino de papel, o interesse da empresa QUALISOL Indústria e Comércio de Produtos Químicos na comercialização dessas enzimas e o interesse da empresa VECTORCONTROL em produzi-las em escala industrial, o objetivo principal do projeto é desenvolver um processo produtivo de endoglucanase recombinante economicamente viável e aplicado ao refino de celulose. O escopo do projeto inclui a evolução dirigida da enzima, o estudo de estabilidade do clone recombinante selecionado, o desenvolvimento e a otimização das etapas fermentativa e de purificação, a ampliação de escala do processo fermentativo e a definição da formulação do produto contendo endoglucanase e xilanase. (AU)"
Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda,Pesquisa e desenvolvimento de nova vacina para mastite bovina,"O objetivo principal desse projeto é desenvolver uma nova vacina para a mastite bovina que é uma das mais complexas e dispendiosas doenças relacionadas à indústria leiteira. A Empresa VitaFort, proponente desse projeto, desenvolveu e já comercializa há mais de 20 anos, uma vacina para a mastite bovina denominada Mastiplus BR. Embora os dados de campo mostrem que a Mastiplus BR apresente boa eficácia e proteção para a mastite subclínica, inclusive com atividade terapêutica, ela é uma vacina muito complexa do ponto de vista de seus constituintes, uma vez que na sua composição estão incluídos, além de lisado de glândula mamária bovina, os lisados de 13 agentes infecciosos considerados como causadores de mais de 80% de todas as mastites bovinas. Recentemente, o MAPA aprovou a revalidação do Relatório Técnico dessa vacina da VitaFort onde foram apresentados os resultados de imunogenicidade, eficácia, segurança e estabilidade. Tendo em vista as diversas necessidades mercadológicas do setor veterinário a VitaFort tem como proposta inovadora incrementai o desenvolvimento de uma nova formulação vacinal para a mastite bovina que seja melhor que a Mastiplus BR... (AU)"
PHC Serviços Administrativos e Projetos Ltda. - ME,"Multiverso empreendedor: desenvolvimento de software para tomada de decisão e gestão de PMEs, promoção de boas práticas empreendedoras e geração de lucro em PMEs","Estatísticas do SEBRAE (GEM, 2012) apontam mortalidade de 24,4% até o segundo ano das empresas brasileiras. Dentre as principais causas estão a falta de planejamento prévio e gestão deficiente do negócio. A conquista de lucro, que é o que se pretende promover com este projeto, depende da correta tomada de decisão em relação a diversas variáveis, tais como, área de atuação, soluções que apresentará ao mercado, definição de praça, prospecção e manutenção de clientes e também relacionadas as estratégias de precificação, gestão de custos e de despesas, o estabelecimento de metas e o correto planejamento e monitoramento de ações e resultados. ERPs (Enterprise Resource Planning) disponíveis no mercado são muito úteis, mas não oferecem às micro, pequenas e médias empresas ferramentas para o cálculo da viabilidade e nem para simulações e projeções de uso de determinados preços, descontos, redução ou aumento de despesas ou de custos ou mesmo o quanto devem girar (vender) para obter um lucro estimado. Além desta falha na gestão, as PMEs (Pequenas e Médias Empresas), falham na prospecção e na manutenção de clientes. Parte disso se deve porque utilizam pouco ou de forma equivocada dos sites e das mídias sociais. A maioria dos sites de pequenas empresas não aparece na primeira página do Google nem quando se digita o nome da empresa ou a URL do site nos campos de busca, quanto mais quando se digita o nome de seus produtos ou serviços. Com a finalidade de se promover: Software para tomada de decisão baseado nos números típicos de PMEs; Educação empreendedora; Desenvolvimento e compartilhamento de boas práticas empresariais; Novos negócios tanto B2C quanto B2B; e a Melhora na divulgação das empresas e produtos é que foi criado o projeto Multiverso Empreendedor. O software em questão, uma das inovações deste projeto, é um DSS (Decision Support System) que apresentará de forma objetiva e visual os efeitos da alteração de cada variável que compõe o resultado da empresa em seu lucro (ou na falta dele). Com base nestes resultados, será possível ao empreendedor estabelecer metas, elaborar planos adequados e monitorar os números da empresa enquanto houver tempo de mudá-los. Um modelo do DSS já se encontra em testes na forma de planilhas. Será transformado em software adaptável aos ERPs comerciais após o refinamento dos dados oriundos das pesquisas realizadas para o levantamento típico de indústrias, de comércio, de serviços ou mesmo de autônomos. O Multiverso Empreendedor será divulgado através de portal e do uso de mídias sociais. Estas ferramentas serão utilizadas também para a promoção de boas práticas empreendedoras e para a comercialização tanto do DSS quanto dos produtos e serviços dos participantes do projeto. (AU)"
Invent Biotecnologia Ltda. - ME,Desenvolvimento de biofármaco a partir de plataforma de produção de anticorpos monoclonais recombinantes,"O projeto tem por objetivo principal a clonagem, expressão e avaliação dos parâmetros de cultivo e purificação do anticorpo monoclonal Alemtuzumab (Campath). Serão definidas condições para obtenção de clones altamente produtores de proteínas recombinantes por meio da intervenção em fatores como desenho do constructo, condições de cultivo e estratégias de purificação. (AU)"
Lipid Ingredients & Technologies Ltda. - ME,Desenvolvimento de um processo escalonável para a produção de emulsões lipídicas utilizadas em nutrição parenteral,"A nutrição parenteral é um método eficaz de nutrição e extremamente importante para auxiliar no restabelecimento de pacientes hospitalizados, principalmente àqueles impedidos de utilizarem a via enteral, sendo importante em doenças como câncer, AIDS e desordens do trato gastrointestinal. Dados indicam que 80% das mortes ocorridas em pacientes hospitalizados são devidas a inabilidade de se obter quantidades suficientes de nutrientes para sustentar os processos metabólicos e manter a vida. Tradicionalmente, a nutrição parenteral é realizada com os seguintes componentes: aminoácidos, glicose e emulsões lipídicas. A emulsão lipídica é um sistema de liberação nanotecnológico complexo, pois necessita ser formulado de forma a garantir um tamanho de partícula médio bem reduzido (inferior a 500nm) para administração segura pela via endovenosa. Estas formulações estão inseridas em um mercado de nutrição parenteral que deverá movimentar até USD 4,53 bilhões em 2017. Apesar do expressivo crescimento deste mercado, o Brasil ainda não é detentor da tecnologia de produção de emulsões lipídicas para nutrição parenteral. Todos os produtos disponíveis no mercado Brasileiro são importados. Neste contexto, o objetivo desta proposta é o desenvolvimento de um processo de produção de emulsões lipídicas para utilização em nutrição parenteral. Os resultados deste projeto podem auxiliar na redução do déficit tecnológico nacional para a produção de emulsões lipídicas, elevando o conhecimento tecnológico e aumentando a competitividade da indústria farmacêutica nacional. Além disso, a comercialização de um produto nacional propiciará a redução das importações, reduzindo o custo para o país e melhorando o acesso a este importante medicamento, que impacta diretamente na saúde pública do país. Nesta etapa do projeto, as emulsões lipídicas serão desenvolvidas em escala laboratorial, para determinar uma engenharia de produção considerando diferentes variáveis do processo, como a concentração dos ingredientes, temperatura, pressão e número de ciclos de homogeneização. As etapas de desenvolvimento da pré-emulsão e a homogeneização à alta pressão serão estudadas. As formulações obtidas serão caracterizadas pelo espalhamento dinâmico de luz, difração a laser e análise microscópica, para determinação do tamanho médio das partículas, índice de polidispersividade e valor de potencial zeta. Conforme estabelecido pelo capítulo geral <729> Globule Size Distribution in Lipid Injectable Emulsions da Farmacopeia Americana (USP), o limite para o tamanho médio das partículas será de 500nm e a determinação do tamanho das partículas maiores, expressadas na porcentagem de volume-peso, não deverá exceder 5µm com um limite máximo de 0,05%. O potencial zeta deverá ficar na faixa de - 20mV a -40mV. Portanto, o desafio do projeto será obter uma emulsão lipídica estável, escalonável e viável comercialmente, dentro dos requisitos legais necessários para o registro do produto nos órgãos regulatórios (Anvisa, FDA). (AU)"
